Data Source,World Development Indicators,,,,,,,,,,,,,,,
Last Updated Date,12/22/17,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Estonia,EST,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1086502853,3127298002,2212181185,3429043145,1873250285,1865561410,2592803327,1118556804,1788040739,1098646096,1751087219,-722555052.7,741621537.8
Ethiopia,ETH,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,545100000,265111675.5,545257102.2,222000573,108537544,221459581.4,288271568.3,626509560.4,278562822.2,1343876024,1855050376,2626520130,3988953392
European Union,EUU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4.00755E+11,9.65758E+11,1.11515E+12,1.69287E+12,1.07711E+12,4.452E+11,5.78109E+11,8.51111E+11,7.14124E+11,6.07074E+11,3.8984E+11,5.95906E+11,8.3527E+11
Fragile and conflict affected situations,FCS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,6928902393,8683413461,12733905037,19340085690,23049775932,18816524236,21041008560,20180483819,24683056385,26770964135,23339227108,24129714904,17437878834
Finland,FIN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,6771281519,10875828408,4631613504,21985066155,19403176598,-8826514767,12226437616,-6008160154,4932843235,-4940707106,17243598342,16938463412,-9537496212
Fiji,FJI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,250618684.7,184929270.4,460444078.5,377939524.3,338522354.6,160649876.1,356156642.7,402356103.4,375988474.2,264709009.8,347993346.5,307878423.7,269507601.1
France,FRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,35581202492,85179159787,78945704920,83780962091,67999194663,18380195793,38899924638,44191741840,32950453828,31589259642,5809580555,43923313140,35407746869
Faroe Islands,FRO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Micronesia, Fed. Sts.",FSM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,0,40000,590000,16690000,-5300000,600000,800000,800000,1000000,800000,20209300,800000,N/A
Gabon,GAB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,313970792,326161877.9,267805315.6,269324270.3,773000000,573000000,499000000,696000000,832473111.1,771192616,1011296178,623890438.8,703194560.6
United Kingdom,GBR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,87059621382,2.52653E+11,2.03636E+11,2.09515E+11,2.53454E+11,14547108445,66734551294,27012050072,46750789728,54473175400,58890445253,58450557091,2.92993E+11
Georgia,GEO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,492732940,453107292,1170292393,1877615756,1591300325,652921300.1,869115645.6,1084349576,831254884.5,957305001.7,1762940498,1582515661,1588457778
Ghana,GHA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,139270000,144970000,636010000,1383177930,2714916344,2372540000,2527350000,3247588000,3294520000,3227000000,3363389444,3192320531,3485333369
Gibraltar,GIB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,217138000,301404000,552282000,2359387000,4179292000,3084491000,710433000,7553871000,952323000,-1335997000,-643960000,-668670000,-882876000
Guinea,GIN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,0,105000000,125000000,385900000,381880000,91030000,101350000,956060000,605560000,190000,-73758603.66,-53167637.28,1511611268
"Gambia, The",GMB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,55526319.44,53650280.02,82208102.59,78094820.96,70792382.32,39447343.71,37140887.81,36077136.08,41183457.77,68340322.38,23014092.04,-1692732.888,-1526519.341
Guinea-Bissau,GNB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1915633.352,8692468.09,17887123.56,18770117.49,6630074.028,18890200,26240200,25024047.39,6624917.193,19639703.8,28852727.69,18575499.45,19582211.27
Equatorial Guinea,GNQ,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,340914468.5,769146185.2,469506014.6,1242731087,-793872332.8,1636219625,2734000000,1975000000,985256411.5,582948749.1,167875165.6,233324879.5,53962172.52
Greece,GRC,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2147448817,689960219.9,5409239581,1957669989,5733408744,2762586782,533689272.7,1092091924,1663327173,2945417938,2696796379,1268311158,3060785237
Grenada,GRD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,65014333.33,70157129.63,89787148.15,156554796.7,134832583.3,102556363,60420861.11,42648183.7,31489862.96,74688413.33,60375447.41,86280526,91261715.27
Greenland,GRL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guatemala,GTM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,321400000,540000000,635300000,859200000,751109109.8,696452714.3,845598200,1139659133,1263638429,1353141908,1165765000,1175523400,1174500000
Guam,GUM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guyana,GUY,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,30000000,76800000,102400000,152400000,178000000,164000000,198000000,246800000,277910000,200558390,237750048.6,116958230,58000000
High income,HIC,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,7.89867E+11,1.23845E+12,1.74743E+12,2.54596E+12,1.81533E+12,9.32519E+11,1.2362E+12,1.54535E+12,1.44425E+12,1.37741E+12,1.1123E+12,1.70012E+12,1.72873E+12
"Hong Kong SAR, China",HKG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,22194238605,40963127271,44901793969,62121011424,67035187588,54275707074,82709142976,96135081265,74887135901,76857453418,1.29847E+11,1.81047E+11,1.1711E+11
Honduras,HND,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,592320092.9,601059572.2,717591908.2,966926354.3,1200798087,494497450.5,484836872.6,1042571021,1067550208,1069029263,1294065691,1316679827,1128940000
Heavily indebted poor countries (HIPC),HPC,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,7082357643,8155846696,10331562498,14869227950,19420155329,15771538965,21844978271,27832572383,31282130900,34152438288,29611290220,28604609784,27999045106
Croatia,HRV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1293085522,1794317620,3299038092,4567377359,5187844809,3198815037,1424108328,1417600259,1465100045,937309759.6,3959857737,158968737.6,1864321648
Haiti,HTI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,5900000,26000000,160600000,74500000,29800000,55470000,178000000,119000000,156000000,161918586.3,99000000,105680000,104900000
Hungary,HUN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4538099567,8505362817,18678720025,70631297039,75013000490,-2967152013,-20933508134,10506179880,10618888829,-3772123439,12886347024,-5302185779,68714586823
IBRD only,IBD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2.28813E+11,3.06905E+11,4.06541E+11,5.58536E+11,6.30473E+11,4.26423E+11,6.20842E+11,7.30191E+11,6.61223E+11,7.19489E+11,6.79942E+11,6.34989E+11,5.58635E+11
IDA & IBRD total,IBT,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2.41541E+11,3.25469E+11,4.31492E+11,5.94505E+11,6.74312E+11,4.62659E+11,6.61538E+11,7.82977E+11,7.13225E+11,7.72002E+11,7.27209E+11,6.8245E+11,6.00016E+11
IDA total,IDA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,12728327627,18563987116,24950871621,35969217281,43838736876,36235788244,40696034876,52786099922,52001652562,52512558305,47266330681,47461497341,41380892771
IDA blend,IDB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3954485533,9242920295,12053331527,16531954713,18757276310,15759838619,14497893106,19547179755,15553795166,14210003319,13161890106,9293408082,6020505505
Indonesia,IDN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1896082770,8336257208,4914201435,6928480000,9318453650,4877369178,15292009411,20564938227,21200778608,23281742362,25120732060,19779127977,4142203473
IDA only,IDX,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,8773842093,9321066821,12897540093,19437262568,25081460566,20475949625,26198141770,33238920167,36447857396,38302554987,34104440576,38168089258,35360387266
Isle of Man,IMN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,IND,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,5429250990,7269407226,20029119267,25227740887,43406277076,35581372930,27396885034,36498654598,23995685014,28153031270,34576643694,44009492130,44458571546
Not classified,INX,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
