"Region, subregion, country or area *"	Country_code	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Least developed countries: UN classification	941	8837274715	5807140386	9125567610	12620070928	18623932685	15501915355	16286316726	22659341151	22729354801	23967045381	28538444890	39131024661	31899266411
Lebanon	422	1898780570	2623502612	2674534372	3375980758	4333045470	4803602660	4279880835	3137050288	3111318172	2661096474	2907118548	2353206729	2610181957
Lesotho	426	55671430.94	27441449.23	24322286.69	75616001.72	11009973.06	91349553.1	9507301.296	61173319.21	56653435.23	50429031.34	94459059.36	113219241	80434059.65
Liberia	430	75351731.65	82802111.44	107856671.5	131637661.6	283536077.4	127803424.5	452342327.6	1312748380	646600000	700267800	720075739.2	721033135.4	453180000
Libya	434	357000000	1038000000	2064000000	4689000000	4111300000	1371000000	1784000000	N/A	1425000000	702000000	50000000	725667000	492556000
Lithuania	440	796133753.2	845877986.2	2067072857	2293469627	1907541463	17980648.77	865322434.9	1537988469	575641203.8	708289357	504472635.1	970017859	962297446.9
Low & middle income	1501	2.19E+11	3.05E+11	3.99E+11	5.53E+11	6.36E+11	4.32E+11	6.24E+11	7.37E+11	6.71E+11	7.50E+11	6.79E+11	6.44E+11	5.72E+11
Low income	1500	3356699944	3290260974	3557619145	6655672893	8966196427	7278328924	11358622997	17348639486	19398719187	19074848777	16418730142	16111380820	17095320542
Luxembourg	442	5179643439	4644769483	32219534641	-29679425810	7117112828	27255154249	39128528763	8843156717	1.43E+11	10481186575	-10534262224	16000505734	26857367248
Malawi	454	107811374	139696707.4	35561531.63	124388838.7	195424461.1	49130854.84	97010028.45	812753754.6	-8886001.78	451360605.7	598087746.6	518691526.9	325632818.8
Malaysia	458	4376052632	3924786635	7690731246	9071369835	7572512432	114664434.6	10885614182	15119371191	8895774251	11296278696	10619431770	9857162233	13515796131
Maldives	462	52933701.73	52991121.06	63826812.89	132432080.8	181255431.8	157963586.8	216468945.7	423530664	227976866.7	360816336.2	333375218	307749298.2	448006042.5
Mali	466	84840599.64	160218206.8	148195574.1	206064771.4	266432781.9	646609200.6	371569832.6	556147161.6	397865237.2	307853389.3	144023010.6	275414523.6	125530920.7
Malta	474	7463261948	21812521210	25024123091	35597484911	14837415221	1444129815	9246747160	7801381378	3324836752	510408456.7	154057552.2	2949544243	2438453540
Mauritania	478	404102025.7	811869181.4	154601638.1	139372822.3	342770662	-3072044.396	130528391.3	588749564.2	1386098851	1126004760	502589833.8	501726765.7	271134845
Mauritius	480	13894736.4	41776995.78	106758059.1	340763853.7	377724738.1	256680711.8	429958030.7	433358879.7	589018302.8	293341671.7	418430127.8	208290139.5	349418573.6
Mexico	484	24916054094	26018159827	20701257458	33064778686	32168992839	19483297828	21062616138	24146620697	17366350240	47136838673	30090680313	36210673649	33930240688
"Micronesia, Fed. Sts."	954	0	40000	590000	16690000	-5300000	600000	800000	800000	1000000	800000	20209300	800000	N/A
Mongolia	496	92900000	187620000	245460000	372759900	844697949.5	623609218.2	1691421732	4571161963	4272473223	2059702973	337768268.1	94319767.47	-4156404704
Montenegro	499	65376568.39	500611849	622001628.3	937515441.4	975105642.3	1549312935	758407499.5	556257883.1	618367296	446490330.3	496716681.9	699736511.1	226666592.4
Morocco	504	787053819	1619752454	2366000096	2806642141	2466288357	1970323920	1240625859	2521362081	2841954371	3360909924	3525384612	3252913902	2318278920
Mozambique	508	244703873.4	122413755.6	251141650.3	416689348.4	641399415.8	930100407.8	1258453097	3663937118	5635092659	6697422432	4998799334	3868353885	3128149929
Myanmar	104	211364295	234904379	275812653	709922015.3	863880447.3	1078972201	901133534.9	2519813313	1333856137	2254603965	2175015284	4083839112	3278096410
Namibia	516	223561311.2	392757950.1	609772318.5	669789340.8	749771454.7	835814906.9	287188694.4	811495035.4	1094347850	787993184.2	445987360	1183091229	301386978.8
Nepal	524	-417346.3839	2451784.707	-6647983.904	5741706.053	995123.9307	38271269.97	87741711.63	94022157.12	91996607.25	74244986.77	30403267.33	51895699.93	105996375.6
Netherlands	528	1.40E+11	2.10E+11	3.75E+11	7.34E+11	1.95E+11	95931335754	1.16E+11	3.32E+11	2.40E+11	3.29E+11	1.18E+11	1.47E+11	1.54E+11
New Caledonia	540	27480195.73	-6738759.001	749088411.7	417453934.4	1746369905	1182295528	1439085573	1758141869	2682824681	2168113324	1797318131	1225978578	1498476027
New Zealand	554	2319819298	1906665964	2912645687	4335506076	2591966537	-52385533.24	286306903	1378410924	3846884019	-69519935.42	3249055311	-9807784.014	1934890721
Nicaragua	558	250000000	241100000	286800000	381700000	627300000	433900000	489900000	936300000	767700000	815500000	884100000	949900000	887800000
Niger	562	24367537.69	49733809.25	40274236.62	98942805.39	281935056.4	631278387	795859656	1065789606	841275555.8	719134023.7	821872392.1	529263979.5	292834900.8
Nigeria	566	1874033035	4982533943	4854416867	6034971231	8196606673	8554840769	6026232041	8841113287	7069934205	5562873606	4655849170	3128591679	4434648308
North America	905	2.10E+11	1.64E+11	3.59E+11	4.61E+11	4.03E+11	1.75E+11	2.89E+11	2.95E+11	3.00E+11	3.55E+11	3.02E+11	5.61E+11	5.12E+11
Norway	578	4918494986	10058759830	11877923790	24806091103	20578219685	8635762892	21634265663	10296323076	27405858241	-249693720.7	3279803722	6823152644	-16427884619
Oman	512	111053316	1538361508	1596098830	3332119636	2951885566	1485825748	1242652796	1629144343	1364629389	1612430962	1286345904	-2172431730	1680894668
Pakistan	586	1118000000	2201000000	4273000000	5590000000	5438000000	2338000000	2022000000	1326000000	859000000	1333000000	1868000000	1621000000	2324000000
Panama	591	1277900000	1104400000	2944300000	2224000000	2390000000	1085500000	2549100000	4395600000	3381900000	3799000000	4984400000	5057700000	5994600000
Papua New Guinea	598	29883258.83	31818696.74	11777272.97	94558953.92	-30591591.76	418816685.9	28720688.24	-309831004.1	-63782355.93	18222240.04	-30389394.59	203474073.9	-39769816.36
Paraguay	600	93979000	7300000	187800000	105000000	337856000	26913000	555544000	463994000	727144000	312567000	549690000	529859000	411466000
Peru	604	1599038389	2578719365	3466531061	5490961307	6923651285	6430652961	8454627588	7341119933	11788195370	9799702105	4441011421	8271633514	6862893056
Philippines	608	592000000	1664000000	2707414997	2918724841	1340027563	2064620678	1070386940	2007150725	3215415155	3737371740	5739574024	5639155962	7979567090
Poland	616	13868000000	11041000000	21473000000	25031000000	14574000000	14025000000	18395000000	18485000000	7358000000	795000000	19776000000	15065000000	16758000000
Portugal	620	2496972203	4428914068	13198582130	6026180108	7821376697	5578899469	8455785211	9817680645	21976623038	10804886161	13113049583	2408982134	9214150761
Puerto Rico	630	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Qatar	634	1198970000	2500000000	3500000000	4700000000	3778626374	8124736264	4670329670	938516483.5	395879120.9	-840384615.4	1040384615	1070879121	773901098.9
Romania	642	6443000000	6498650463	11006614842	10103086514	13667824245	4637684880	3213737652	2370097223	3047569714	3854819398	3869197075	4317731472	5372961305
Russian Federation	643	15402990000	15508050000	37594770000	55873680000	74782910000	36583100000	43167780000	55083630000	50587560000	69218890000	22031320000	6852970000	32538900000
Rwanda	646	7700000	10500000	30643966.47	82283165.86	103346051.9	118670000	250504802.9	119105385.8	254963244.4	257642420.2	314742419	223334652.8	254451666.4
Samoa	882	2480936.284	3763664.371	21927671.89	6821727.439	45899093.79	9868116.508	-1324579.317	8984743.311	13887918.65	13791695.17	22849692.3	41323309	2339226.886
